Date,NSVCode,Site1,Quantity
18/06/2020,Drug A,Site A,84
19/06/2020,Drug A,Site A,0
20/06/2020,Drug A,Site A,0
21/06/2020,Drug A,Site A,0
22/06/2020,Drug A,Site A,0
23/06/2020,Drug A,Site A,0
24/06/2020,Drug A,Site A,0
25/06/2020,Drug A,Site A,0
26/06/2020,Drug A,Site A,0
27/06/2020,Drug A,Site A,0
28/06/2020,Drug A,Site A,0
29/06/2020,Drug A,Site A,0
30/06/2020,Drug A,Site A,0
01/07/2020,Drug A,Site A,0
02/07/2020,Drug A,Site A,84
03/07/2020,Drug A,Site A,0
04/07/2020,Drug A,Site A,0
05/07/2020,Drug A,Site A,0
06/07/2020,Drug A,Site A,0
07/07/2020,Drug A,Site A,0
08/07/2020,Drug A,Site A,0
09/07/2020,Drug A,Site A,0
10/07/2020,Drug A,Site A,84
11/07/2020,Drug A,Site A,0
12/07/2020,Drug A,Site A,0
13/07/2020,Drug A,Site A,0
14/07/2020,Drug A,Site A,0
15/07/2020,Drug A,Site A,0
16/07/2020,Drug A,Site A,0
17/07/2020,Drug A,Site A,0
18/07/2020,Drug A,Site A,0
19/07/2020,Drug A,Site A,0
20/07/2020,Drug A,Site A,0
21/07/2020,Drug A,Site A,0
22/07/2020,Drug A,Site A,0
23/07/2020,Drug A,Site A,0
24/07/2020,Drug A,Site A,0
25/07/2020,Drug A,Site A,0
26/07/2020,Drug A,Site A,0
27/07/2020,Drug A,Site A,0
28/07/2020,Drug A,Site A,0
29/07/2020,Drug A,Site A,0
30/07/2020,Drug A,Site A,84
03/08/2017,Drug A,Site C,238
04/08/2017,Drug A,Site C,28
05/08/2017,Drug A,Site C,0
06/08/2017,Drug A,Site C,0
07/08/2017,Drug A,Site C,84
08/08/2017,Drug A,Site C,0
09/08/2017,Drug A,Site C,56
10/08/2017,Drug A,Site C,0
11/08/2017,Drug A,Site C,378
12/08/2017,Drug A,Site C,0
13/08/2017,Drug A,Site C,0
14/08/2017,Drug A,Site C,42
15/08/2017,Drug A,Site C,168
16/08/2017,Drug A,Site C,196
17/08/2017,Drug A,Site C,56
18/08/2017,Drug A,Site C,0
19/08/2017,Drug A,Site C,0
20/08/2017,Drug A,Site C,0
21/08/2017,Drug A,Site C,364
22/08/2017,Drug A,Site C,140
23/08/2017,Drug A,Site C,364
24/08/2017,Drug A,Site C,0
25/08/2017,Drug A,Site C,336
26/08/2017,Drug A,Site C,0
27/08/2017,Drug A,Site C,0
28/08/2017,Drug A,Site C,0
29/08/2017,Drug A,Site C,0
30/08/2017,Drug A,Site C,0
31/08/2017,Drug A,Site C,98
01/09/2017,Drug A,Site C,27
02/09/2017,Drug A,Site C,0
03/09/2017,Drug A,Site C,0
04/09/2017,Drug A,Site C,280
05/09/2017,Drug A,Site C,58
06/09/2017,Drug A,Site C,259
07/09/2017,Drug A,Site C,0
08/09/2017,Drug A,Site C,140
09/09/2017,Drug A,Site C,0
10/09/2017,Drug A,Site C,0
11/09/2017,Drug A,Site C,336
12/09/2017,Drug A,Site C,98
13/09/2017,Drug A,Site C,0
14/09/2017,Drug A,Site C,176
15/09/2017,Drug A,Site C,20
16/09/2017,Drug A,Site C,0
17/09/2017,Drug A,Site C,0
18/09/2017,Drug A,Site C,84
19/09/2017,Drug A,Site C,0
20/09/2017,Drug A,Site C,476
21/09/2017,Drug A,Site C,0
22/09/2017,Drug A,Site C,14
23/09/2017,Drug A,Site C,0
24/09/2017,Drug A,Site C,0
25/09/2017,Drug A,Site C,0
26/09/2017,Drug A,Site C,91
27/09/2017,Drug A,Site C,308
28/09/2017,Drug A,Site C,42
29/09/2017,Drug A,Site C,196
30/09/2017,Drug A,Site C,0
01/10/2017,Drug A,Site C,0
02/10/2017,Drug A,Site C,392
03/10/2017,Drug A,Site C,140
04/10/2017,Drug A,Site C,0
05/10/2017,Drug A,Site C,0
06/10/2017,Drug A,Site C,0
07/10/2017,Drug A,Site C,0
08/10/2017,Drug A,Site C,0
09/10/2017,Drug A,Site C,336
10/10/2017,Drug A,Site C,0
11/10/2017,Drug A,Site C,0
12/10/2017,Drug A,Site C,0
13/10/2017,Drug A,Site C,0
14/10/2017,Drug A,Site C,0
15/10/2017,Drug A,Site C,0
16/10/2017,Drug A,Site C,336
17/10/2017,Drug A,Site C,308
18/10/2017,Drug A,Site C,35
19/10/2017,Drug A,Site C,35
20/10/2017,Drug A,Site C,56
21/10/2017,Drug A,Site C,0
22/10/2017,Drug A,Site C,0
23/10/2017,Drug A,Site C,322
24/10/2017,Drug A,Site C,56
25/10/2017,Drug A,Site C,140
26/10/2017,Drug A,Site C,42
27/10/2017,Drug A,Site C,0
28/10/2017,Drug A,Site C,0
29/10/2017,Drug A,Site C,0
30/10/2017,Drug A,Site C,364
31/10/2017,Drug A,Site C,0
01/11/2017,Drug A,Site C,168
02/11/2017,Drug A,Site C,0
03/11/2017,Drug A,Site C,0
04/11/2017,Drug A,Site C,0
05/11/2017,Drug A,Site C,0
06/11/2017,Drug A,Site C,462
07/11/2017,Drug A,Site C,0
08/11/2017,Drug A,Site C,0
09/11/2017,Drug A,Site C,84
10/11/2017,Drug A,Site C,0
11/11/2017,Drug A,Site C,0
12/11/2017,Drug A,Site C,0
13/11/2017,Drug A,Site C,644
14/11/2017,Drug A,Site C,0
15/11/2017,Drug A,Site C,0
16/11/2017,Drug A,Site C,0
17/11/2017,Drug A,Site C,280
18/11/2017,Drug A,Site C,0
19/11/2017,Drug A,Site C,0
20/11/2017,Drug A,Site C,0
21/11/2017,Drug A,Site C,0
22/11/2017,Drug A,Site C,0
23/11/2017,Drug A,Site C,0
24/11/2017,Drug A,Site C,0
25/11/2017,Drug A,Site C,0
26/11/2017,Drug A,Site C,0
27/11/2017,Drug A,Site C,336
28/11/2017,Drug A,Site C,420
29/11/2017,Drug A,Site C,0
30/11/2017,Drug A,Site C,0
01/12/2017,Drug A,Site C,42
02/12/2017,Drug A,Site C,0
03/12/2017,Drug A,Site C,0
04/12/2017,Drug A,Site C,252
05/12/2017,Drug A,Site C,168
06/12/2017,Drug A,Site C,0
07/12/2017,Drug A,Site C,0
08/12/2017,Drug A,Site C,84
09/12/2017,Drug A,Site C,0
10/12/2017,Drug A,Site C,0
11/12/2017,Drug A,Site C,448
12/12/2017,Drug A,Site C,0
13/12/2017,Drug A,Site C,0
14/12/2017,Drug A,Site C,0
15/12/2017,Drug A,Site C,0
16/12/2017,Drug A,Site C,0
17/12/2017,Drug A,Site C,0
18/12/2017,Drug A,Site C,434
19/12/2017,Drug A,Site C,84
20/12/2017,Drug A,Site C,0
21/12/2017,Drug A,Site C,0
22/12/2017,Drug A,Site C,96
23/12/2017,Drug A,Site C,0
24/12/2017,Drug A,Site C,0
25/12/2017,Drug A,Site C,0
26/12/2017,Drug A,Site C,0
27/12/2017,Drug A,Site C,308
28/12/2017,Drug A,Site C,61
29/12/2017,Drug A,Site C,140
30/12/2017,Drug A,Site C,0
31/12/2017,Drug A,Site C,0
01/01/2018,Drug A,Site C,0
02/01/2018,Drug A,Site C,266
03/01/2018,Drug A,Site C,224
04/01/2018,Drug A,Site C,0
05/01/2018,Drug A,Site C,0
06/01/2018,Drug A,Site C,0
07/01/2018,Drug A,Site C,0
08/01/2018,Drug A,Site C,392
09/01/2018,Drug A,Site C,0
10/01/2018,Drug A,Site C,0
11/01/2018,Drug A,Site C,136
12/01/2018,Drug A,Site C,140
13/01/2018,Drug A,Site C,0
14/01/2018,Drug A,Site C,0
15/01/2018,Drug A,Site C,0
16/01/2018,Drug A,Site C,0
17/01/2018,Drug A,Site C,0
18/01/2018,Drug A,Site C,0
19/01/2018,Drug A,Site C,0
20/01/2018,Drug A,Site C,0
21/01/2018,Drug A,Site C,0
22/01/2018,Drug A,Site C,42
23/01/2018,Drug A,Site C,112
24/01/2018,Drug A,Site C,308
25/01/2018,Drug A,Site C,0
26/01/2018,Drug A,Site C,0
27/01/2018,Drug A,Site C,0
28/01/2018,Drug A,Site C,0
29/01/2018,Drug A,Site C,224
30/01/2018,Drug A,Site C,147
31/01/2018,Drug A,Site C,336
01/02/2018,Drug A,Site C,0
02/02/2018,Drug A,Site C,28
03/02/2018,Drug A,Site C,0
04/02/2018,Drug A,Site C,0
05/02/2018,Drug A,Site C,364
06/02/2018,Drug A,Site C,0
07/02/2018,Drug A,Site C,70
08/02/2018,Drug A,Site C,140
09/02/2018,Drug A,Site C,56
10/02/2018,Drug A,Site C,0
11/02/2018,Drug A,Site C,0
12/02/2018,Drug A,Site C,140
13/02/2018,Drug A,Site C,0
14/02/2018,Drug A,Site C,0
15/02/2018,Drug A,Site C,308
16/02/2018,Drug A,Site C,0
17/02/2018,Drug A,Site C,0
18/02/2018,Drug A,Site C,0
19/02/2018,Drug A,Site C,280
20/02/2018,Drug A,Site C,0
21/02/2018,Drug A,Site C,0
22/02/2018,Drug A,Site C,56
23/02/2018,Drug A,Site C,0
24/02/2018,Drug A,Site C,0
25/02/2018,Drug A,Site C,0
26/02/2018,Drug A,Site C,112
27/02/2018,Drug A,Site C,56
28/02/2018,Drug A,Site C,140
01/03/2018,Drug A,Site C,112
02/03/2018,Drug A,Site C,0
03/03/2018,Drug A,Site C,0
04/03/2018,Drug A,Site C,0
05/03/2018,Drug A,Site C,364
06/03/2018,Drug A,Site C,0
07/03/2018,Drug A,Site C,0
08/03/2018,Drug A,Site C,364
09/03/2018,Drug A,Site C,0
10/03/2018,Drug A,Site C,0
11/03/2018,Drug A,Site C,0
12/03/2018,Drug A,Site C,0
13/03/2018,Drug A,Site C,0
14/03/2018,Drug A,Site C,0
15/03/2018,Drug A,Site C,56
16/03/2018,Drug A,Site C,140
17/03/2018,Drug A,Site C,0
18/03/2018,Drug A,Site C,0
19/03/2018,Drug A,Site C,0
20/03/2018,Drug A,Site C,0
21/03/2018,Drug A,Site C,308
22/03/2018,Drug A,Site C,168
23/03/2018,Drug A,Site C,0
24/03/2018,Drug A,Site C,0
25/03/2018,Drug A,Site C,0
26/03/2018,Drug A,Site C,392
27/03/2018,Drug A,Site C,56
28/03/2018,Drug A,Site C,0
29/03/2018,Drug A,Site C,0
30/03/2018,Drug A,Site C,0
31/03/2018,Drug A,Site C,0
01/04/2018,Drug A,Site C,0
02/04/2018,Drug A,Site C,0
03/04/2018,Drug A,Site C,84
04/04/2018,Drug A,Site C,0
05/04/2018,Drug A,Site C,336
06/04/2018,Drug A,Site C,112
07/04/2018,Drug A,Site C,0
08/04/2018,Drug A,Site C,0
09/04/2018,Drug A,Site C,0
10/04/2018,Drug A,Site C,420
11/04/2018,Drug A,Site C,0
12/04/2018,Drug A,Site C,140
13/04/2018,Drug A,Site C,0
14/04/2018,Drug A,Site C,0
15/04/2018,Drug A,Site C,0
16/04/2018,Drug A,Site C,0
17/04/2018,Drug A,Site C,28
18/04/2018,Drug A,Site C,0
19/04/2018,Drug A,Site C,0
20/04/2018,Drug A,Site C,392
21/04/2018,Drug A,Site C,0
22/04/2018,Drug A,Site C,0
23/04/2018,Drug A,Site C,0
24/04/2018,Drug A,Site C,0
25/04/2018,Drug A,Site C,0
26/04/2018,Drug A,Site C,392
27/04/2018,Drug A,Site C,0
28/04/2018,Drug A,Site C,0
29/04/2018,Drug A,Site C,0
30/04/2018,Drug A,Site C,224
01/05/2018,Drug A,Site C,0
02/05/2018,Drug A,Site C,224
03/05/2018,Drug A,Site C,6
04/05/2018,Drug A,Site C,0
05/05/2018,Drug A,Site C,0
06/05/2018,Drug A,Site C,0
07/05/2018,Drug A,Site C,0
08/05/2018,Drug A,Site C,56
09/05/2018,Drug A,Site C,133
10/05/2018,Drug A,Site C,476
11/05/2018,Drug A,Site C,336
12/05/2018,Drug A,Site C,0
13/05/2018,Drug A,Site C,0
14/05/2018,Drug A,Site C,112
15/05/2018,Drug A,Site C,0
16/05/2018,Drug A,Site C,0
17/05/2018,Drug A,Site C,56
18/05/2018,Drug A,Site C,0
19/05/2018,Drug A,Site C,0
20/05/2018,Drug A,Site C,0
21/05/2018,Drug A,Site C,56
22/05/2018,Drug A,Site C,336
23/05/2018,Drug A,Site C,0
24/05/2018,Drug A,Site C,0
25/05/2018,Drug A,Site C,0
26/05/2018,Drug A,Site C,0
27/05/2018,Drug A,Site C,0
28/05/2018,Drug A,Site C,0
29/05/2018,Drug A,Site C,0
30/05/2018,Drug A,Site C,252
31/05/2018,Drug A,Site C,556
01/06/2018,Drug A,Site C,28
02/06/2018,Drug A,Site C,0
03/06/2018,Drug A,Site C,0
04/06/2018,Drug A,Site C,140
05/06/2018,Drug A,Site C,224
06/06/2018,Drug A,Site C,70
07/06/2018,Drug A,Site C,0
08/06/2018,Drug A,Site C,8
09/06/2018,Drug A,Site C,0
10/06/2018,Drug A,Site C,0
11/06/2018,Drug A,Site C,224
12/06/2018,Drug A,Site C,0
13/06/2018,Drug A,Site C,0
14/06/2018,Drug A,Site C,196
15/06/2018,Drug A,Site C,0
16/06/2018,Drug A,Site C,0
17/06/2018,Drug A,Site C,0
18/06/2018,Drug A,Site C,350
19/06/2018,Drug A,Site C,196
20/06/2018,Drug A,Site C,0
21/06/2018,Drug A,Site C,0
22/06/2018,Drug A,Site C,0
23/06/2018,Drug A,Site C,0
24/06/2018,Drug A,Site C,0
25/06/2018,Drug A,Site C,280
26/06/2018,Drug A,Site C,112
27/06/2018,Drug A,Site C,0
28/06/2018,Drug A,Site C,0
29/06/2018,Drug A,Site C,196
30/06/2018,Drug A,Site C,0
01/07/2018,Drug A,Site C,0
02/07/2018,Drug A,Site C,490
03/07/2018,Drug A,Site C,0
04/07/2018,Drug A,Site C,0
05/07/2018,Drug A,Site C,0
06/07/2018,Drug A,Site C,56
07/07/2018,Drug A,Site C,0
08/07/2018,Drug A,Site C,0
09/07/2018,Drug A,Site C,364
10/07/2018,Drug A,Site C,0
11/07/2018,Drug A,Site C,56
12/07/2018,Drug A,Site C,0
13/07/2018,Drug A,Site C,0
14/07/2018,Drug A,Site C,0
15/07/2018,Drug A,Site C,0
16/07/2018,Drug A,Site C,252
17/07/2018,Drug A,Site C,112
18/07/2018,Drug A,Site C,0
19/07/2018,Drug A,Site C,0
20/07/2018,Drug A,Site C,448
21/07/2018,Drug A,Site C,0
22/07/2018,Drug A,Site C,0
23/07/2018,Drug A,Site C,14
24/07/2018,Drug A,Site C,0
25/07/2018,Drug A,Site C,112
26/07/2018,Drug A,Site C,0
27/07/2018,Drug A,Site C,140
28/07/2018,Drug A,Site C,0
29/07/2018,Drug A,Site C,0
30/07/2018,Drug A,Site C,98
31/07/2018,Drug A,Site C,448
01/08/2018,Drug A,Site C,63
02/08/2018,Drug A,Site C,0
03/08/2018,Drug A,Site C,0
04/08/2018,Drug A,Site C,0
05/08/2018,Drug A,Site C,0
06/08/2018,Drug A,Site C,462
07/08/2018,Drug A,Site C,6
08/08/2018,Drug A,Site C,56
09/08/2018,Drug A,Site C,0
10/08/2018,Drug A,Site C,0
11/08/2018,Drug A,Site C,0
12/08/2018,Drug A,Site C,0
13/08/2018,Drug A,Site C,224
14/08/2018,Drug A,Site C,0
15/08/2018,Drug A,Site C,0
16/08/2018,Drug A,Site C,0
17/08/2018,Drug A,Site C,0
18/08/2018,Drug A,Site C,0
19/08/2018,Drug A,Site C,0
20/08/2018,Drug A,Site C,428
21/08/2018,Drug A,Site C,112
22/08/2018,Drug A,Site C,0
23/08/2018,Drug A,Site C,168
24/08/2018,Drug A,Site C,476
25/08/2018,Drug A,Site C,0
26/08/2018,Drug A,Site C,0
27/08/2018,Drug A,Site C,0
28/08/2018,Drug A,Site C,0
29/08/2018,Drug A,Site C,14
30/08/2018,Drug A,Site C,77
31/08/2018,Drug A,Site C,0
01/09/2018,Drug A,Site C,0
02/09/2018,Drug A,Site C,0
03/09/2018,Drug A,Site C,392
04/09/2018,Drug A,Site C,126
05/09/2018,Drug A,Site C,0
06/09/2018,Drug A,Site C,0
07/09/2018,Drug A,Site C,0
08/09/2018,Drug A,Site C,0
09/09/2018,Drug A,Site C,0
10/09/2018,Drug A,Site C,234
11/09/2018,Drug A,Site C,112
12/09/2018,Drug A,Site C,252
13/09/2018,Drug A,Site C,35
14/09/2018,Drug A,Site C,119
15/09/2018,Drug A,Site C,0
16/09/2018,Drug A,Site C,0
17/09/2018,Drug A,Site C,350
18/09/2018,Drug A,Site C,30
19/09/2018,Drug A,Site C,224
20/09/2018,Drug A,Site C,0
21/09/2018,Drug A,Site C,280
22/09/2018,Drug A,Site C,0
23/09/2018,Drug A,Site C,0
24/09/2018,Drug A,Site C,0
25/09/2018,Drug A,Site C,0
26/09/2018,Drug A,Site C,280
27/09/2018,Drug A,Site C,104
28/09/2018,Drug A,Site C,112
29/09/2018,Drug A,Site C,0
30/09/2018,Drug A,Site C,0
01/10/2018,Drug A,Site C,382
02/10/2018,Drug A,Site C,0
03/10/2018,Drug A,Site C,0
04/10/2018,Drug A,Site C,0
05/10/2018,Drug A,Site C,126
06/10/2018,Drug A,Site C,0
07/10/2018,Drug A,Site C,0
08/10/2018,Drug A,Site C,231
09/10/2018,Drug A,Site C,28
10/10/2018,Drug A,Site C,0
11/10/2018,Drug A,Site C,7
12/10/2018,Drug A,Site C,420
13/10/2018,Drug A,Site C,0
14/10/2018,Drug A,Site C,0
15/10/2018,Drug A,Site C,112
16/10/2018,Drug A,Site C,308
17/10/2018,Drug A,Site C,140
18/10/2018,Drug A,Site C,0
19/10/2018,Drug A,Site C,7
20/10/2018,Drug A,Site C,0
21/10/2018,Drug A,Site C,0
22/10/2018,Drug A,Site C,217
23/10/2018,Drug A,Site C,0
24/10/2018,Drug A,Site C,504
25/10/2018,Drug A,Site C,0
26/10/2018,Drug A,Site C,112
27/10/2018,Drug A,Site C,0
28/10/2018,Drug A,Site C,0
29/10/2018,Drug A,Site C,472
30/10/2018,Drug A,Site C,0
31/10/2018,Drug A,Site C,0
01/11/2018,Drug A,Site C,0
02/11/2018,Drug A,Site C,224
03/11/2018,Drug A,Site C,0
04/11/2018,Drug A,Site C,0
05/11/2018,Drug A,Site C,0
06/11/2018,Drug A,Site C,84
07/11/2018,Drug A,Site C,0
08/11/2018,Drug A,Site C,0
09/11/2018,Drug A,Site C,70
10/11/2018,Drug A,Site C,0
11/11/2018,Drug A,Site C,0
12/11/2018,Drug A,Site C,588
13/11/2018,Drug A,Site C,188
14/11/2018,Drug A,Site C,0
15/11/2018,Drug A,Site C,0
16/11/2018,Drug A,Site C,0
17/11/2018,Drug A,Site C,0
18/11/2018,Drug A,Site C,0
19/11/2018,Drug A,Site C,84
20/11/2018,Drug A,Site C,140
21/11/2018,Drug A,Site C,0
22/11/2018,Drug A,Site C,448
23/11/2018,Drug A,Site C,56
24/11/2018,Drug A,Site C,0
25/11/2018,Drug A,Site C,0
26/11/2018,Drug A,Site C,56
27/11/2018,Drug A,Site C,252
28/11/2018,Drug A,Site C,0
29/11/2018,Drug A,Site C,56
30/11/2018,Drug A,Site C,0
01/12/2018,Drug A,Site C,0
02/12/2018,Drug A,Site C,0
03/12/2018,Drug A,Site C,28
04/12/2018,Drug A,Site C,0
05/12/2018,Drug A,Site C,168
06/12/2018,Drug A,Site C,560
07/12/2018,Drug A,Site C,21
08/12/2018,Drug A,Site C,0
09/12/2018,Drug A,Site C,0
10/12/2018,Drug A,Site C,0
11/12/2018,Drug A,Site C,70
12/12/2018,Drug A,Site C,0
13/12/2018,Drug A,Site C,532
14/12/2018,Drug A,Site C,28
15/12/2018,Drug A,Site C,0
16/12/2018,Drug A,Site C,0
17/12/2018,Drug A,Site C,21
18/12/2018,Drug A,Site C,0
19/12/2018,Drug A,Site C,364
20/12/2018,Drug A,Site C,0
21/12/2018,Drug A,Site C,406
22/12/2018,Drug A,Site C,0
23/12/2018,Drug A,Site C,0
24/12/2018,Drug A,Site C,0
25/12/2018,Drug A,Site C,0
26/12/2018,Drug A,Site C,0
27/12/2018,Drug A,Site C,0
28/12/2018,Drug A,Site C,392
29/12/2018,Drug A,Site C,0
30/12/2018,Drug A,Site C,0
31/12/2018,Drug A,Site C,0
01/01/2019,Drug A,Site C,0
02/01/2019,Drug A,Site C,168
03/01/2019,Drug A,Site C,0
04/01/2019,Drug A,Site C,84
05/01/2019,Drug A,Site C,0
06/01/2019,Drug A,Site C,0
07/01/2019,Drug A,Site C,924
08/01/2019,Drug A,Site C,0
09/01/2019,Drug A,Site C,0
10/01/2019,Drug A,Site C,0
11/01/2019,Drug A,Site C,84
12/01/2019,Drug A,Site C,0
13/01/2019,Drug A,Site C,0
14/01/2019,Drug A,Site C,56
15/01/2019,Drug A,Site C,336
16/01/2019,Drug A,Site C,0
17/01/2019,Drug A,Site C,14
18/01/2019,Drug A,Site C,0
19/01/2019,Drug A,Site C,0
20/01/2019,Drug A,Site C,0
21/01/2019,Drug A,Site C,224
22/01/2019,Drug A,Site C,0
23/01/2019,Drug A,Site C,0
24/01/2019,Drug A,Site C,21
25/01/2019,Drug A,Site C,56
26/01/2019,Drug A,Site C,0
27/01/2019,Drug A,Site C,0
28/01/2019,Drug A,Site C,560
29/01/2019,Drug A,Site C,15
30/01/2019,Drug A,Site C,0
31/01/2019,Drug A,Site C,35
01/02/2019,Drug A,Site C,112
02/02/2019,Drug A,Site C,0
03/02/2019,Drug A,Site C,0
04/02/2019,Drug A,Site C,56
05/02/2019,Drug A,Site C,35
06/02/2019,Drug A,Site C,0
07/02/2019,Drug A,Site C,1134
08/02/2019,Drug A,Site C,0
09/02/2019,Drug A,Site C,0
10/02/2019,Drug A,Site C,0
11/02/2019,Drug A,Site C,56
12/02/2019,Drug A,Site C,14
13/02/2019,Drug A,Site C,0
14/02/2019,Drug A,Site C,0
15/02/2019,Drug A,Site C,0
16/02/2019,Drug A,Site C,0
17/02/2019,Drug A,Site C,0
18/02/2019,Drug A,Site C,224
19/02/2019,Drug A,Site C,140
20/02/2019,Drug A,Site C,47
21/02/2019,Drug A,Site C,0
22/02/2019,Drug A,Site C,364
23/02/2019,Drug A,Site C,0
24/02/2019,Drug A,Site C,0
25/02/2019,Drug A,Site C,21
26/02/2019,Drug A,Site C,196
27/02/2019,Drug A,Site C,0
28/02/2019,Drug A,Site C,56
01/03/2019,Drug A,Site C,111
02/03/2019,Drug A,Site C,0
03/03/2019,Drug A,Site C,0
04/03/2019,Drug A,Site C,12
05/03/2019,Drug A,Site C,0
06/03/2019,Drug A,Site C,308
07/03/2019,Drug A,Site C,0
08/03/2019,Drug A,Site C,140
09/03/2019,Drug A,Site C,0
10/03/2019,Drug A,Site C,0
11/03/2019,Drug A,Site C,448
12/03/2019,Drug A,Site C,0
13/03/2019,Drug A,Site C,196
14/03/2019,Drug A,Site C,98
15/03/2019,Drug A,Site C,0
16/03/2019,Drug A,Site C,0
17/03/2019,Drug A,Site C,0
18/03/2019,Drug A,Site C,392
19/03/2019,Drug A,Site C,0
20/03/2019,Drug A,Site C,0
21/03/2019,Drug A,Site C,0
22/03/2019,Drug A,Site C,56
23/03/2019,Drug A,Site C,0
24/03/2019,Drug A,Site C,0
25/03/2019,Drug A,Site C,56
26/03/2019,Drug A,Site C,84
27/03/2019,Drug A,Site C,56
28/03/2019,Drug A,Site C,0
29/03/2019,Drug A,Site C,0
30/03/2019,Drug A,Site C,0
31/03/2019,Drug A,Site C,0
01/04/2019,Drug A,Site C,406
02/04/2019,Drug A,Site C,0
03/04/2019,Drug A,Site C,168
04/04/2019,Drug A,Site C,308
05/04/2019,Drug A,Site C,0
06/04/2019,Drug A,Site C,0
07/04/2019,Drug A,Site C,0
08/04/2019,Drug A,Site C,56
09/04/2019,Drug A,Site C,476
10/04/2019,Drug A,Site C,0
11/04/2019,Drug A,Site C,0
12/04/2019,Drug A,Site C,0
13/04/2019,Drug A,Site C,0
14/04/2019,Drug A,Site C,0
15/04/2019,Drug A,Site C,0
16/04/2019,Drug A,Site C,112
17/04/2019,Drug A,Site C,0
18/04/2019,Drug A,Site C,441
19/04/2019,Drug A,Site C,0
20/04/2019,Drug A,Site C,0
21/04/2019,Drug A,Site C,0
22/04/2019,Drug A,Site C,0
23/04/2019,Drug A,Site C,590
24/04/2019,Drug A,Site C,42
25/04/2019,Drug A,Site C,56
26/04/2019,Drug A,Site C,0
27/04/2019,Drug A,Site C,0
28/04/2019,Drug A,Site C,0
29/04/2019,Drug A,Site C,0
30/04/2019,Drug A,Site C,168
01/05/2019,Drug A,Site C,644
02/05/2019,Drug A,Site C,42
03/05/2019,Drug A,Site C,0
04/05/2019,Drug A,Site C,0
05/05/2019,Drug A,Site C,0
06/05/2019,Drug A,Site C,0
07/05/2019,Drug A,Site C,168
08/05/2019,Drug A,Site C,0
09/05/2019,Drug A,Site C,0
10/05/2019,Drug A,Site C,56
11/05/2019,Drug A,Site C,0
12/05/2019,Drug A,Site C,0
13/05/2019,Drug A,Site C,252
14/05/2019,Drug A,Site C,0
15/05/2019,Drug A,Site C,0
16/05/2019,Drug A,Site C,84
17/05/2019,Drug A,Site C,0
18/05/2019,Drug A,Site C,0
19/05/2019,Drug A,Site C,0
20/05/2019,Drug A,Site C,336
21/05/2019,Drug A,Site C,0
22/05/2019,Drug A,Site C,0
23/05/2019,Drug A,Site C,121
24/05/2019,Drug A,Site C,588
25/05/2019,Drug A,Site C,0
26/05/2019,Drug A,Site C,0
27/05/2019,Drug A,Site C,0
28/05/2019,Drug A,Site C,36
29/05/2019,Drug A,Site C,252
30/05/2019,Drug A,Site C,0
31/05/2019,Drug A,Site C,0
01/06/2019,Drug A,Site C,0
02/06/2019,Drug A,Site C,0
03/06/2019,Drug A,Site C,408
04/06/2019,Drug A,Site C,84
05/06/2019,Drug A,Site C,84
06/06/2019,Drug A,Site C,56
07/06/2019,Drug A,Site C,280
08/06/2019,Drug A,Site C,0
09/06/2019,Drug A,Site C,0
10/06/2019,Drug A,Site C,0
11/06/2019,Drug A,Site C,0
12/06/2019,Drug A,Site C,0
13/06/2019,Drug A,Site C,0
14/06/2019,Drug A,Site C,0
15/06/2019,Drug A,Site C,0
16/06/2019,Drug A,Site C,0
17/06/2019,Drug A,Site C,21
18/06/2019,Drug A,Site C,224
19/06/2019,Drug A,Site C,4
20/06/2019,Drug A,Site C,14
21/06/2019,Drug A,Site C,336
22/06/2019,Drug A,Site C,0
23/06/2019,Drug A,Site C,0
24/06/2019,Drug A,Site C,224
25/06/2019,Drug A,Site C,0
26/06/2019,Drug A,Site C,56
27/06/2019,Drug A,Site C,259
28/06/2019,Drug A,Site C,420
29/06/2019,Drug A,Site C,0
30/06/2019,Drug A,Site C,0
01/07/2019,Drug A,Site C,224
02/07/2019,Drug A,Site C,28
03/07/2019,Drug A,Site C,0
04/07/2019,Drug A,Site C,112
05/07/2019,Drug A,Site C,280
06/07/2019,Drug A,Site C,0
